"PARTY_ID","NAME","ADDRESS","ADDRESS2","CITY","STATE","ZIPCODE","COUNTRY","PHONE","EMAIL","STATUS","TIER","GENDER","DOB","CC_TYPE","CC_NUM","CC_EXP_DT"
1054,"Gene Jackson","8315 Jet Ferry Rd","","Atlanta","GA","30350","US","(404) 365-8850","EJackson@hotmail.com","LIVE",3,"M",11-NOV-83,"Discover Card"," 6221-9860-4143-2139",01-JUL-15
220000,"Eugene Jackson","8315 Jett Ferry Road","","Atlanta","GA","30350","United States","(404) 365-8850","EugenEastJackson@worldafrican.com","LIVE",2,"",13-FEB-85,"","",
290000,"Gene Jackson","8315 Jett Ferry Road","","Atlanta","GA","30350","United States","(404) 365-8850","EugenEastJackson@worldafricancom","LIVE",3,"",12-DEC-01,"","",
1061,"James Rapp","6625 The Corner Pky","","Norcross","GA","30092","*","(404) 448-5210","JRapp@yahoo.com","LIVE",1,"M",08-DEC-72,"Diners Club Carte Bl"," 30-0003-7439-6715",01-JUN-15
1066,"Suzzy Rapp","6625 The Corners Parkway","","Norcross","GA","30092","US","(404) 448-5210","SRapp@hotmail.com","Incactive",1,"",04-OCT-82,"Visa"," 4-7973-3277-2042",01-JAN-14
170000,"David Atwood","6625 The Corners Parkway","Suite 200","Norcross","GA","30092","United States","(404) 448-5210","DavidAtwood@alltel.com","Active",2,"",22-APR-99,"","",
330000,"Harold Wirtz","6625 The Corners Parkway","Suite 200","Norcross","GA","30092","United States","(404) 448-5210","HaroldWirtz@alltel.com","A",3,"",04-SEP-01,"","",
350000,"Henry Fisher","6625 The Corners Parkway","Suite 200","Norcross","GA","30092","United States","(404) 448-5210","HenryFisher@alltel.com","LIVE",3,"",04-SEP-00,"","",
360000,"James Rapp","6625 The Corners Parkway","","Norcross","GA","30092","United States","(404) 448-5210","JamesRapp@alltel.com","LIVE",3,"",24-APR-74,"","",
400000,"Jim Mullins","6625 The Corners Parkway","","Norcross","GA","30092","United States","(404) 448-5210","JimMullins@alltel.com","Incactive",2,"",07-JUN-76,"","",
690000,"Pete Thomas","6625 The Corners Parkway","# 400","Norcross","GA","30092","United States","(404) 448-5210","PetEastThomas@alltel.com","LIVE",2,"",06-FEB-78,"","",
910000,"Suzanne Wessel","6625 The Corners Parkway","Suite 200","Norcross","GA","30092","United States","(404) 448-5210","SuzannEastWessel@alltel.com","LIVE",2,"",28-FEB-78,"","",
950000,"Tommy Franks","6625 The Corners Parkway","Suite 200","Norcross","GA","30092","United States","(404) 448-5210","TommyFranks@alltel.com","LIVE",2,"",04-MAR-78,"","",
990000,"Wade Grogan","6625 The Corners Parkway","Suite 200","Norcross","GA","30092","United States","(404) 448-5210","WadEastGrogan@alltel.com","LIVE",2,"",08-MAR-78,"","",
1075,"John Rogers","107 Washington Street","","Gainesville","GA","30501","U.S.","(404) 531-9972","JRogers@aol.com","LIVE",3,"",10-MAY-71,"Mastercard"," 5573-0730-1145-0122",01-MAY-13
470000,"John Rogers","107 Washington Street","","Gainesville","GA","30501","United States","(404) 531-9972","JohnRogers@stuartcap.com","LIVE",2,"",10-JAN-87,"","",
640000,"Paul Bowling","Sam Mitchell Building","Rm 15","Helena","MT","59620","United States","(406) 444-4455","","I",1,"",28-DEC-85,"","",
1074,"John McCartney","605 North 5600 W","","Salt Lake City","UT","84116","US","(408) 764-3266","JMcCartney@aol.com","LIVE",2,"",27-FEB-93,"Diners Club Internat"," 36-1690-4221-1947",01-JUL-14
460000,"John McCartney","605 North 5600 W","","Salt Lake City","UT","84116","United States","(408) 764-3266","JohnMcCartney@3com.com","LIVE",2,"",29-OCT-91,"","",
1005,"Steven Ahern","100 Cardinal","","Redwood City","CA","","USA","(412) 215-9843","SAhern@gmail.com","A",3,"",23-JAN-86,"Visa"," 4-7955-7138-1160",01-APR-13
5025,"Steve Aharn","100 Cardinal","","Redwood City","CA","","USA","(412) 215-9843","SAharn@gmail.com","A",3,"",23-JAN-86,"Visa"," 4-7955-7138-1160",01-APR-13
1094,"Paul Bowling","100 Cardinal Way","","Redwood City","CA","","US","(412) 444-4455","PBowling@gmail.com","LIVE",2,"",13-DEC-85,"Maestro"," 6-7619-2435-2090",01-JUN-13
5470,"Mr. Paul Bowling","100 Cardinal Way","","Redwood City","CA","","US","(412) 444-4455","PBowling@gmail.com","LIVE",2,"",13-DEC-85,"Maestro"," 6-7619-2435-2090",01-JUN-13
1017,"Steve J. Ahern","101 Laurel Court","","Pittsburgh","PA","15202","","(412)215-9843","SAhern@gmail.com","Active",1,"",26-AUG-85,"Discover Card"," 6221-3408-7033-7474",01-JUN-14
5085,"Stevie Aiharn","101 Laurel Court","","Pittsburgh","PA","15202","","(412)215-9843","SAiharn@gmail.com","Active",2,"",26-AUG-85,"Discover Card"," 6221-3408-7033-7474",01-JUN-14
2740500,"LATTA W.G. SARNOFF","88 West Park Street","","Lee","MA","1238","US","(413) 243 2238","price chopper@pricechopper.com","LIVE",1,"",07-DEC-74,"","",
2748900,"ELVIA STRASSBURG","555 Hubbard Ave","","Pittsfield","MA","1201","US","(413) 442-7696","elvia.s@pricechopper.com","LIVE",3,"",02-JAN-93,"","",
2742600,"CORRIE BERTSCH","489 Pittsfield Road","","Lenox","MA","124","US","(413) 443-5449","cbertsch@pricechopper.com","LIVE",2,"",29-NOV-92,"","",
2738400,"CARYLON SECRIST","300 Stockbridge Rd","","Great Barrington","MA","1230","US","(413) 528 8415","carylon.s@pricechopper.com","LIVE",3,"",28-JUL-92,"","",
2746800,"BOYD LONEY","245 STATE ROAD  ","","NORTH ADAMS","MA","1247","US","(413) 663-9415","boyd_loney@pricechopper.com","LIVE",3,"",07-NOV-92,"","",
1100,"Peter Howley","25 Cornwall Street","","Mill Valley","CA","94941","","(415) 394-5800","PHowley@yahoo.com","LIVE",1,"",19-MAR-00,"Diners Club Internat"," 36-3418-8150-5958",01-MAR-15
700000,"Peter Howley","25 Cornwall Street","# 1011","Mill Valley","CA","94941","United States","(415) 394-5800","","LIVE",2,"",07-FEB-78,"","",
1109,"Robert Thronson","2937 Fillmore Street","","San Francisco","CA","94123","US","(415) 921-7805","RThronson@yahoo.com","LIVE",2,"",29-JUL-88,"Laser"," 6706-0974-4078-4205",01-OCT-13
760000,"Robert Thronson","2937 Fillmore Street","","San Francisco","CA","94123","United States","(415) 921-7805","","A",3,"",13-FEB-78,"","",
3429300,"SU VENANCIO","1500 E Alexis Rd","","Toledo","OH","43612","US","(419) 727 2000 ","su_venancio@meijer.com","LIVE",3,"",13-AUG-92,"","",
320000,"Alfred Johnson","1150 18th Street NW","","Washington","DC","20036","United States","(425) 602-4260","","A",3,"",01-JAN-70,"","",
