"PARTY_ID","NAME_FULL","NAME_PREFIX","NAME_FIRST","NAME_MIDDLE","NAME_LAST","NAME_SUFFIX","NAME_TITLE","DELIVERY_ADDRESS1","DELIVERY_ADDRESS2","LOCALITY_COMPLETE","PROVINCE_COMPLETE","POSTCODE_COMPLETE","COUNTRY_ISO_3CHAR","PHONE","EMAIL","STATUS","TIER","DATE_OF_BIRTH","GENDER","CC_TYPE","CC_NUMBER","CC_EXPIRATION_DATE","CC_EXPIRED_DATE_INDICATOR","ADDRESS_VALIDATION_CODE","ADDRESS_VALIDATION_MESSAGE"
3427200,"Placida Persley","Ms.","Placida","","Persley","","","6325 S GILMORE RD","","FAIRFIELD","OH","45014-5159","USA","(513) 881-0100","placida_persley@meijer.com","A","SILVER",05-DEC-92,"F","","",,"","C4","Corrected - all elements have been checked"
3389400,"Kiel Oatman","Mr.","Kiel","","Oatman","","","696 DOGWOOD AVE","","FRANKLIN SQUARE","NY","11010-3247","USA","(516) 486-0607","ko@keyfoodstores.com","A","SILVER",16-JAN-75,"M","","",,"","C4","Corrected - all elements have been checked"
820000,"Sam Lambra","Mr.","Sam","","Lambra","","","30 VOICE RD","","CARLE PLACE","NY","11514-1505","USA","(516) 747-4030","","A","BRONZE",19-FEB-78,"M","","",,"","C4","Corrected - all elements have been checked"
3414600,"Nohemi Frawley","Ms.","Nohemi","","Frawley","","","595 N PINE RD","","BAY CITY","MI","48708-9190","USA","(517) 891-1500","nohemi_frawley@meijer.com","A","BRONZE",21-SEP-92,"F","","",,"","C4","Corrected - all elements have been checked"
540000,"Larry Lindner","Mr.","Larry","","Lindner","","","2910 HIGHWAY 80 E","","PEARL","MS","39208-3409","USA","(601) 932-4461","","A","SILVER",18-DEC-85,"M","","",,"","C4","Corrected - all elements have been checked"
3570000,"Rosamaria Radel","Ms.","Rosamaria","","Radel","","","150 BRIDGE ST","","PELHAM","NH","03076-3800","USA","(603) 635-3001","rr@hannaford.com ","A","BRONZE",17-SEP-92,"F","","",,"","C4","Corrected - all elements have been checked"
3683400,"Kary Ascani","Ms.","Kary","","Ascani","","","1800 N MAIN ST","","MITCHELL","SD","57301-1139","USA","(605) 996-5593","coborns@cobornsinc.com","A","SILVER",15-JAN-75,"F","","",,"","C4","Corrected - all elements have been checked"
1124,"Thomas Key","Mr.","Thomas","","Key","","","200 DEBUSK LN","","POWELL","TN","37849-4703","USA","(615) 938-7828","TKey@yahoo.com","A","BRONZE",10-OCT-77,"M","JCB"," 3569-3374-7322-5368",01-APR-14,"","C4","Corrected - all elements have been checked"
930000,"Thomas Key","Mr.","Thomas","","Key","","","200 DEBUSK LN","","POWELL","TN","37849-4703","USA","(615) 938-7828","","A","SILVER",02-MAR-78,"M","","",,"","C4","Corrected - all elements have been checked"
230000,"Fred Healy","Mr.","Fred","","Healy","","","77 N WASHINGTON ST STE 4","","BOSTON","MA","02114-1908","USA","(617) 367-0500","FredHealy@wiltelIncorporated.com","A","SILVER",02-OCT-92,"M","","",,"","C4","Corrected - all elements have been checked"
2774100,"Minerva Malchow","Ms.","Minerva","","Malchow","","","460 BLUE HILL AVE","","DORCHESTER","MA","02121-4308","USA","(617) 427-6752","super stop & shop@stopandshop.com","A","SILVER",21-OCT-77,"F","","",,"","C4","Corrected - all elements have been checked"
280000,"Gene Perrinelli","Mr.","Gene","","Perrinelli","","","420 BEDFORD ST","","LEXINGTON","MA","02420-1508","USA","(617) 863-8588","","A","BRONZE",10-DEC-76,"M","","",,"","C4","Corrected - all elements have been checked"
3385200,"Gen Kok","","Gen","","Kok","","","822 FORT SALONGA RD","","NORTHPORT","NY","11768-3151","USA","(631) 757-6600","gen.kok@keyfoodstores.com","A","GOLD",01-NOV-92,"U","","",,"","C4","Corrected - all elements have been checked"
3345300,"Elvia Pegram","Ms.","Elvia","","Pegram","","","3008 FULTON ST","","BROOKLYN","NY","11208-1119","USA","(718) 277-9733","elvia.p@keyfoodstores.com","A","GOLD",11-DEC-92,"F","","",,"","C4","Corrected - all elements have been checked"
3360000,"Stan Kanne","Mr.","Stan","","Kanne","","","8772 18TH AVE","","BROOKLYN","NY","11214-4602","USA","(718) 331-5080","sk@keyfoodstores.com","I","SILVER",19-OCT-77,"M","","",,"","C4","Corrected - all elements have been checked"
3378900,"Stanislaw Levinger","Mr.","Stanislaw","","Levinger","","","2020 NEW HAVEN AVE","","FAR ROCKAWAY","NY","11691-3518","USA","(718) 337-2740","slevinger@keyfoodstores.com","A","SILVER",20-SEP-88,"M","","",,"","C4","Corrected - all elements have been checked"
3339000,"Bradlee Lecroy","","Bradlee","","Lecroy","","","29 BELMONT AVE","","BROOKLYN","NY","11212-6403","USA","(718) 345-8877","key food@keyfoodstores.com","A","BRONZE",29-JUL-92,"U","","",,"","C4","Corrected - all elements have been checked"
3343200,"Perl Swisher","","Perl","","Swisher","","","5101 AVENUE N","","BROOKLYN","NY","11234-3807","USA","(718) 377-9112","perl_swisher@keyfoodstores.com","A","BRONZE",28-OCT-74,"U","","",,"","C4","Corrected - all elements have been checked"
3376800,"Juliana Lide","Ms.","Juliana","","Lide","","","10538 ROCKAWAY BEACH BLVD","","ROCKAWAY PARK","NY","11694-2645","USA","(718) 474-2591","jl@keyfoodstores.com","A","SILVER",16-SEP-88,"F","","",,"","C4","Corrected - all elements have been checked"
3355800,"Brinda Kilker","Ms.","Brinda","","Kilker","","","800 ROCKAWAY AVE","","BROOKLYN","NY","11212-5853","USA","(718) 485-0169","key food@keyfoodstores.com","A","SILVER",03-NOV-77,"F","","",,"","C4","Corrected - all elements have been checked"
3362100,"Davis Ginther","Mr.","Davis","","Ginther","","","395 COURT ST","","BROOKLYN","NY","11231-4103","USA","(718) 522-1376","dg@keyfoodstores.com","A","SILVER",26-OCT-77,"M","","",,"","C4","Corrected - all elements have been checked"
3347400,"Glendora Cirilo","Ms.","Glendora","","Cirilo","","","169 ATLANTIC AVE","","BROOKLYN","NY","11201-5605","USA","(718) 625-2253","gc@keyfoodstores.com","I","GOLD",17-JUL-92,"F","","",,"","C4","Corrected - all elements have been checked"
3357900,"Louisa Olivo","Ms.","Louisa","","Olivo","","","2245 GERRITSEN AVE","","BROOKLYN","NY","11229-5606","USA","(718) 648-4565","louisa.olivo@keyfoodstores.com","A","SILVER",26-NOV-92,"F","","",,"","C4","Corrected - all elements have been checked"
3351600,"Harmony Valvo","Ms.","Harmony","","Valvo","","","589 PROSPECT AVE","","BROOKLYN","NY","11215-6020","USA","(718) 768-1025","harmony.valvo@keyfoodstores.com","A","BRONZE",05-APR-00,"F","","",,"","C4","Corrected - all elements have been checked"
